days,open,high,low,close
114,7138.00,7690.00,7042.00,7536.00
113,6857.00,7164.00,6856.00,7115.00
112,6897.00,6906.00,6779.00,6891.00
111,7151.00,7222.00,6851.00,6866.00
110,7223.00,7250.00,7070.00,7152.00
109,7087.00,7279.00,7068.00,7223.00
108,7046.00,7136.00,7009.00,7062.00
107,6756.00,7145.00,6635.00,7046.00
106,6872.00,6935.00,6696.00,6756.00
105,6763.00,6983.00,6763.00,6872.00
104,7143.00,7143.00,6628.00,6827.00
103,6814.00,7196.00,6795.00,7143.00
102,6910.00,6949.00,6796.00,6814.00
101,7315.00,7315.00,6766.00,6919.00
100,7341.00,7364.00,7119.00,7302.00
99,7360.00,7419.00,7218.00,7327.00
98,7298.00,7459.00,7082.00,7118.00
97,6762.00,7306.00,6731.00,7298.00
96,6854.00,6892.00,6691.00,6762.00
95,6704.00,6968.00,6681.00,6854.00
94,6833.00,7043.00,6631.00,6710.00
93,6357.00,7219.00,6357.00,6833.00
92,6482.00,6498.00,6169.00,6362.00
91,6478.00,6575.00,6350.00,6482.00
90,5955.00,6497.00,5867.00,6472.00
89,6263.00,6274.00,5881.00,5954.00
88,6681.00,6703.00,6045.00,6263.00
87,6739.00,6842.00,6588.00,6679.00
86,6598.00,6772.00,6550.00,6739.00
85,6751.00,6967.00,6489.00,6597.00
84,6413.00,6831.00,6377.00,6751.00
83,5934.00,6614.00,5730.00,6408.00
82,6336.00,6450.00,5812.00,5934.00
81,5964.00,6376.00,5897.00,6343.00
80,6241.00,6891.00,5690.00,5968.00
79,5339.00,6365.00,5267.00,6241.00
78,5474.00,5524.00,5031.00,5338.00
77,4904.00,5502.00,4882.00,5474.00
76,5188.00,5959.00,4461.00,4904.00
75,5354.00,5583.00,5074.00,5187.00
74,5436.00,5766.00,5224.00,5354.00
73,5747.00,6029.00,3966.00,5435.00
72,7872.00,7992.00,5626.00,5772.00
71,8007.00,8044.00,7617.00,7872.00
70,7860.00,8163.00,7772.00,7984.00
69,8285.00,8301.00,7665.00,7860.00
68,8899.00,8938.00,8204.00,8286.00
67,9145.00,9210.00,8874.00,8900.00
